位置 X,位置 Y,內容
-105.4563,154.9075,P1
699.0837,134.9075,P10
8793.575,134.9075,P100
8883.575,134.9075,P101
8973.575,134.9075,P102
9063.575,134.9075,P103
9153.575,134.9075,P104
9243.575,134.9075,P105
9333.575,134.9075,P106
9423.575,134.9075,P107
9513.575,134.9075,P108
9603.575,134.9075,P109
789.0837,134.9075,P11
9693.575,134.9075,P110
9783.575,134.9075,P111
9873.575,134.9075,P112
9963.575,134.9075,P113
10053.575,134.9075,P114
10143.575,134.9075,P115
10233.575,134.9075,P116
10323.575,134.9075,P117
10413.575,134.9075,P118
10503.575,134.9075,P119
879.0837,134.9075,P12
10593.575,134.9075,P120
10683.575,134.9075,P121
10773.575,134.9075,P122
10863.575,134.9075,P123
10953.575,134.9075,P124
11043.575,134.9075,P125
11133.575,134.9075,P126
11223.575,134.9075,P127
11313.575,134.9075,P128
11403.575,134.9075,P129
969.0837,134.9075,P13
11493.575,134.9075,P130
11583.575,134.9075,P131
11673.575,134.9075,P132
11763.575,134.9075,P133
11853.575,134.9075,P134
11943.575,134.9075,P135
12033.575,134.9075,P136
12123.575,134.9075,P137
12213.575,134.9075,P138
12303.575,134.9075,P139
1059.0837,134.9075,P14
12393.575,134.9075,P140
12483.575,134.9075,P141
12573.575,134.9075,P142
12663.575,134.9075,P143
12753.575,134.9075,P144
12843.575,134.9075,P145
12933.575,134.9075,P146
13023.575,134.9075,P147
13113.575,134.9075,P148
13203.575,134.9075,P149
1149.0837,134.9075,P15
13293.575,134.9075,P150
13383.575,134.9075,P151
13473.575,134.9075,P152
13563.575,134.9075,P153
13653.575,134.9075,P154
13743.575,134.9075,P155
13833.575,134.9075,P156
13923.575,134.9075,P157
13974.4602,59.9683,P158
14021.1475,-16.9751,P159
1239.0837,134.9075,P16
14067.8349,-93.9185,P160
14060.3185,-183.4944,P161
14060.3185,-273.4944,P162
14060.3185,-363.4944,P163
14060.3185,-453.4944,P164
14060.3185,-543.4944,P165
14060.3185,-633.4944,P166
14060.3185,-723.4944,P167
14060.3185,-813.4944,P168
14060.3185,-903.4944,P169
1329.0837,134.9075,P17
14060.3185,-993.4944,P170
14060.3185,-1083.4944,P171
14060.3185,-1173.4944,P172
14060.3185,-1263.4944,P173
14060.3185,-1353.4944,P174
14060.3185,-1443.4944,P175
14060.3185,-1533.4944,P176
14060.3185,-1623.4944,P177
14060.3185,-1713.4944,P178
14060.3185,-1803.4944,P179
1419.0837,134.9075,P18
14060.3185,-1893.4944,P180
14060.3185,-1983.4944,P181
14060.3185,-2073.4944,P182
14060.3185,-2163.4944,P183
14060.3185,-2253.4944,P184
14060.3185,-2343.4944,P185
14060.3185,-2433.4944,P186
14060.3185,-2523.4944,P187
14060.3185,-2613.4944,P188
14060.3185,-2703.4944,P189
1509.0837,134.9075,P19
14060.3185,-2793.4944,P190
14060.3185,-2883.4944,P191
14060.3185,-2973.4944,P192
14060.3185,-3063.4944,P193
14060.3185,-3153.4944,P194
14060.3185,-3243.4944,P195
14060.3185,-3333.4944,P196
14060.3185,-3423.4944,P197
14060.3185,-3513.4944,P198
14060.3185,-3603.4944,P199
-15.4563,134.9075,P2
1599.0837,134.9075,P20
14060.3185,-3693.4944,P200
14060.3185,-3783.4944,P201
14060.3185,-3873.4944,P202
14060.3185,-3963.4944,P203
14060.3185,-4053.4944,P204
14060.3185,-4143.4944,P205
14060.3185,-4233.4944,P206
14060.3185,-4323.4944,P207
14060.3185,-4413.4944,P208
14060.3185,-4503.4944,P209
1689.0837,134.9075,P21
14060.3185,-4593.4944,P210
14060.3185,-4683.4944,P211
14060.3185,-4773.4944,P212
14060.3185,-4863.4944,P213
14060.3185,-4953.4944,P214
14060.3185,-5043.4944,P215
14060.3185,-5133.4944,P216
14060.3185,-5223.4944,P217
14060.3185,-5313.4944,P218
14060.3185,-5403.4944,P219
1779.0837,134.9075,P22
14060.3185,-5493.4944,P220
14060.3185,-5583.4944,P221
13991.0685,-5640.0925,P222
13901.0685,-5640.0925,P223
13811.0685,-5640.0925,P224
13721.0685,-5640.0925,P225
13631.0685,-5640.0925,P226
13541.0685,-5640.0925,P227
13451.0685,-5640.0925,P228
13361.0685,-5640.0925,P229
1869.0837,134.9075,P23
13271.0685,-5640.0925,P230
13181.0685,-5640.0925,P231
13091.0685,-5640.0925,P232
13001.0685,-5640.0925,P233
12911.0685,-5640.0925,P234
12821.0685,-5640.0925,P235
12731.0685,-5640.0925,P236
12641.0685,-5640.0925,P237
12551.0685,-5640.0925,P238
12461.0685,-5640.0925,P239
1959.0837,134.9075,P24
12371.0685,-5640.0925,P240
12281.0685,-5640.0925,P241
12191.0685,-5640.0925,P242
12101.0685,-5640.0925,P243
12011.0685,-5640.0925,P244
11921.0685,-5640.0925,P245
11831.0685,-5640.0925,P246
11741.0685,-5640.0925,P247
11651.0685,-5640.0925,P248
11561.0685,-5640.0925,P249
2049.0837,134.9075,P25
11471.0685,-5640.0925,P250
11381.0685,-5640.0925,P251
11291.0685,-5640.0925,P252
11201.0685,-5640.0925,P253
11111.0685,-5640.0925,P254
11021.0685,-5640.0925,P255
10931.0685,-5640.0925,P256
10841.0685,-5640.0925,P257
10751.0685,-5640.0925,P258
10661.0685,-5640.0925,P259
2139.0837,134.9075,P26
10571.0685,-5640.0925,P260
10481.0685,-5640.0925,P261
10391.0685,-5640.0925,P262
10301.0685,-5640.0925,P263
10211.0685,-5640.0925,P264
10121.0685,-5640.0925,P265
10031.0685,-5640.0925,P266
9941.0685,-5640.0925,P267
9851.0685,-5640.0925,P268
9761.0685,-5640.0925,P269
2229.0837,134.9075,P27
9671.0685,-5640.0925,P270
9581.0685,-5640.0925,P271
9491.0685,-5640.0925,P272
9401.0685,-5640.0925,P273
9311.0685,-5640.0925,P274
9221.0685,-5640.0925,P275
9131.0685,-5640.0925,P276
9041.0685,-5640.0925,P277
8951.0685,-5640.0925,P278
8861.0685,-5640.0925,P279
2319.0837,134.9075,P28
8771.0685,-5640.0925,P280
8681.0685,-5640.0925,P281
8591.0685,-5640.0925,P282
8501.0685,-5640.0925,P283
8411.0685,-5640.0925,P284
8321.0685,-5640.0925,P285
8231.0685,-5640.0925,P286
8141.0685,-5640.0925,P287
8051.0685,-5640.0925,P288
7961.0685,-5640.0925,P289
2409.0837,134.9075,P29
7871.0685,-5640.0925,P290
7781.0685,-5640.0925,P291
7691.0685,-5640.0925,P292
7601.0685,-5640.0925,P293
7511.0685,-5640.0925,P294
7421.0685,-5640.0925,P295
7331.0685,-5640.0925,P296
7241.0685,-5640.0925,P297
7151.0685,-5640.0925,P298
7061.0685,-5640.0925,P299
74.5437,134.9075,P3
2499.0837,134.9075,P30
6971.0685,-5640.0925,P300
6881.0685,-5640.0925,P301
6791.0685,-5640.0925,P302
6701.0685,-5640.0925,P303
6611.0685,-5640.0925,P304
6521.0685,-5640.0925,P305
6431.0685,-5640.0925,P306
6341.0685,-5640.0925,P307
6251.0685,-5640.0925,P308
6161.0685,-5640.0925,P309
2589.0837,134.9075,P31
6071.0685,-5640.0925,P310
5981.0685,-5640.0925,P311
5891.0685,-5640.0925,P312
5801.0685,-5640.0925,P313
5711.0685,-5640.0925,P314
5621.0685,-5640.0925,P315
5531.0685,-5640.0925,P316
5441.0685,-5640.0925,P317
5351.0685,-5640.0925,P318
5261.0685,-5655.0925,P319
2679.0837,134.9075,P32
5245.3185,-5565.0925,P320
5245.3185,-5475.0925,P321
5245.3185,-5385.0925,P322
5245.3185,-5295.0925,P323
5245.3185,-5205.0925,P324
5245.3185,-5115.0925,P325
5245.3185,-5025.0925,P326
5245.3185,-4935.0925,P327
5245.3185,-4845.0925,P328
5245.3185,-4755.0925,P329
2769.0837,134.9075,P33
5245.3185,-4665.0925,P330
5245.3185,-4575.0925,P331
5245.3185,-4485.0925,P332
5245.3185,-4395.0925,P333
5245.3185,-4305.0925,P334
5245.3185,-4215.0925,P335
5245.3185,-4125.0925,P336
5245.3185,-4035.0925,P337
5245.3185,-3945.0925,P338
5245.3185,-3855.0925,P339
2859.0837,134.9075,P34
5245.3185,-3765.0925,P340
5245.3185,-3675.0925,P341
5245.3185,-3585.0925,P342
5245.3185,-3495.0925,P343
5245.3185,-3405.0925,P344
5245.3185,-3315.0925,P345
5245.3185,-3225.0925,P346
5245.3185,-3135.0925,P347
5245.3185,-3045.0925,P348
5245.3185,-2955.0925,P349
2949.0837,134.9075,P35
5245.3185,-2865.0925,P350
5245.3185,-2775.0925,P351
5245.3185,-2685.0925,P352
5245.3185,-2595.0925,P353
5245.3185,-2505.0925,P354
5245.3185,-2415.0925,P355
5245.3185,-2325.0925,P356
5245.3185,-2235.0925,P357
5245.3185,-2145.0925,P358
5245.3185,-2055.0925,P359
3039.0837,134.9075,P36
5245.3185,-1965.0925,P360
5245.3185,-1875.0925,P361
5155.3185,-1875.0925,P362
5065.3185,-1875.0925,P363
4975.3185,-1875.0925,P364
4885.3185,-1875.0925,P365
4795.3185,-1875.0925,P366
4705.3185,-1875.0925,P367
4615.3185,-1875.0925,P368
4525.3185,-1875.0925,P369
3129.0837,134.9075,P37
4435.3185,-1875.0925,P370
4345.3185,-1875.0925,P371
4255.3185,-1875.0925,P372
4165.3185,-1875.0925,P373
4075.3185,-1875.0925,P374
3985.3185,-1875.0925,P375
3895.3185,-1875.0925,P376
3805.3185,-1875.0925,P377
3715.3185,-1875.0925,P378
3625.3185,-1875.0925,P379
3219.0837,134.9075,P38
3535.3185,-1875.0925,P380
3445.3185,-1875.0925,P381
3355.3185,-1875.0925,P382
3265.3185,-1875.0925,P383
3175.3185,-1875.0925,P384
3085.3185,-1875.0925,P385
2995.3185,-1875.0925,P386
2905.3185,-1875.0925,P387
2815.3185,-1875.0925,P388
2725.3185,-1875.0925,P389
3309.0837,134.9075,P39
2640.3185,-1875.0925,P390
2640.3185,-1965.0925,P391
2640.3185,-2055.0925,P392
2640.3185,-2145.0925,P393
2640.3185,-2235.0925,P394
2640.3185,-2325.0925,P395
2640.3185,-2415.0925,P396
2640.3185,-2505.0925,P397
2640.3185,-2595.0925,P398
2640.3185,-2685.0925,P399
164.5437,134.9075,P4
3399.0837,134.9075,P40
2640.3185,-2775.0925,P400
2640.3185,-2865.0925,P401
2640.3185,-2955.0925,P402
2640.3185,-3045.0925,P403
2640.3185,-3135.0925,P404
2640.3185,-3225.0925,P405
2640.3185,-3315.0925,P406
2640.3185,-3405.0925,P407
2640.3185,-3495.0925,P408
2640.3185,-3585.0925,P409
3489.0837,134.9075,P41
2640.3185,-3675.0925,P410
2640.3185,-3765.0925,P411
2640.3185,-3855.0925,P412
2640.3185,-3945.0925,P413
2640.3185,-4035.0925,P414
2640.3185,-4125.0925,P415
2640.3185,-4215.0925,P416
2640.3185,-4305.0925,P417
2640.3185,-4395.0925,P418
2550.3185,-4440.0925,P419
3579.0837,134.9075,P42
2460.3185,-4440.0925,P420
2370.3185,-4440.0925,P421
2280.3185,-4440.0925,P422
2190.3185,-4440.0925,P423
2100.3185,-4440.0925,P424
2010.3185,-4440.0925,P425
1920.3185,-4440.0925,P426
1830.3185,-4440.0925,P427
1740.3185,-4440.0925,P428
1650.3185,-4440.0925,P429
3669.0837,134.9075,P43
1560.3185,-4440.0925,P430
1470.3185,-4440.0925,P431
1380.3185,-4440.0925,P432
1290.3185,-4440.0925,P433
1200.3185,-4440.0925,P434
1110.3185,-4440.0925,P435
1020.3185,-4440.0925,P436
930.3185,-4440.0925,P437
840.3185,-4440.0925,P438
750.3185,-4440.0925,P439
3759.0837,134.9075,P44
660.3185,-4440.0925,P440
570.3185,-4440.0925,P441
480.3185,-4440.0925,P442
390.3185,-4440.0925,P443
300.3185,-4440.0925,P444
210.3185,-4440.0925,P445
120.3185,-4440.0925,P446
30.3185,-4440.0925,P447
-59.6815,-4440.0925,P448
-149.6815,-4440.0925,P449
3849.0837,134.9075,P45
-129.6815,-4350.0925,P450
-129.6815,-4260.0925,P451
-129.6815,-4170.0925,P452
-129.6815,-4080.0925,P453
-129.6815,-3990.0925,P454
-129.6815,-3900.0925,P455
-129.6815,-3810.0925,P456
-129.6815,-3720.0925,P457
-129.6815,-3630.0925,P458
-129.6815,-3540.0925,P459
3939.0837,134.9075,P46
-129.6815,-3450.0925,P460
-129.6815,-3360.0925,P461
-129.6815,-3270.0925,P462
-129.6815,-3180.0925,P463
-129.6815,-3090.0925,P464
-129.6815,-3000.0925,P465
-129.6815,-2910.0925,P466
-129.6815,-2820.0925,P467
-129.6815,-2730.0925,P468
-129.6815,-2640.0925,P469
4029.0837,134.9075,P47
-129.6815,-2550.0925,P470
-129.6815,-2460.0925,P471
-129.6815,-2370.0925,P472
-129.6815,-2280.0925,P473
-129.6815,-2190.0925,P474
-129.6815,-2100.0925,P475
-129.6815,-2010.0925,P476
-129.6815,-1920.0925,P477
-129.6815,-1830.0925,P478
-129.6815,-1740.0925,P479
4119.0837,134.9075,P48
-129.6815,-1650.0925,P480
-129.6815,-1560.0925,P481
-129.6815,-1470.0925,P482
-129.6815,-1380.0925,P483
-129.6815,-1290.0925,P484
-129.6815,-1200.0925,P485
-129.6815,-1110.0925,P486
-129.6815,-1020.0925,P487
-129.6815,-930.0925,P488
-129.6815,-840.0925,P489
4209.0837,134.9075,P49
-129.6815,-745.0925,P490
-129.6815,-655.0925,P491
-129.6815,-565.0925,P492
-129.6815,-475.0925,P493
-129.6815,-385.0925,P494
-129.6815,-295.0925,P495
-129.6815,-205.0925,P496
-129.6815,-115.0925,P497
-129.6815,-25.0925,P498
-129.6815,64.9075,P499
254.5437,134.9075,P5
4299.0837,134.9075,P50
14152.3186,-3480.0925,P500
14242.3186,-3480.0925,P501
14332.3186,-3480.0925,P502
14422.3186,-3480.0925,P503
14512.3186,-3480.0925,P504
14602.3186,-3480.0925,P505
14692.3186,-3480.0925,P506
14782.3186,-3480.0925,P507
14872.3186,-3480.0925,P508
14962.3186,-3480.0925,P509
4389.0837,134.9075,P51
15052.3186,-3480.0925,P510
15142.3186,-3480.0925,P511
15232.3186,-3480.0925,P512
15240.3185,-3570.0925,P513
15240.3185,-3660.0925,P514
15240.3185,-3750.0925,P515
15240.3185,-3840.0925,P516
15240.3185,-3930.0925,P517
15240.3185,-4020.0925,P518
15240.3185,-4110.0925,P519
4479.0837,134.9075,P52
15240.3185,-4200.0925,P520
15240.3185,-4290.0925,P521
15240.3185,-4380.0925,P522
15240.3185,-4470.0925,P523
15240.3185,-4560.0925,P524
15240.3185,-4650.0925,P525
15240.3185,-4740.0925,P526
15240.3185,-4830.0925,P527
15240.3185,-4920.0925,P528
15240.3185,-5010.0925,P529
4569.0837,134.9075,P53
15240.3185,-5100.0925,P530
15240.3185,-5190.0925,P531
15240.3185,-5280.0925,P532
15240.3185,-5370.0925,P533
15240.3185,-5460.0925,P534
15240.3185,-5550.0925,P535
15230.3185,-5640.0925,P536
15140.3185,-5640.0925,P537
15050.3185,-5640.0925,P538
14960.3185,-5640.0925,P539
4659.0837,134.9075,P54
14870.3185,-5640.0925,P540
14780.3185,-5640.0925,P541
14690.3185,-5640.0925,P542
14600.3185,-5640.0925,P543
14510.3185,-5640.0925,P544
14420.3185,-5640.0925,P545
14330.3185,-5640.0925,P546
14240.3185,-5640.0925,P547
14150.3185,-5640.0925,P548
-219.6815,-3560.0944,P549
4749.0837,134.9075,P55
-309.6815,-3560.0944,P550
-399.6815,-3560.0944,P551
-489.6815,-3560.0944,P552
-579.6815,-3560.0944,P553
-669.6815,-3560.0944,P554
-759.6815,-3560.0944,P555
-849.6815,-3560.0944,P556
-939.6815,-3560.0944,P557
-1029.6815,-3560.0944,P558
-1119.6815,-3560.0944,P559
4839.0837,134.9075,P56
-1209.6815,-3560.0944,P560
-1299.6815,-3560.0944,P561
-1389.6815,-3560.0944,P562
-1479.6815,-3560.0944,P563
-1569.6815,-3560.0944,P564
-1659.6815,-3560.0944,P565
-1749.6815,-3560.0944,P566
-1839.6815,-3560.0944,P567
-1809.6815,-3470.0944,P568
-1809.6815,-3380.0944,P569
4929.0837,134.9075,P57
-1809.6815,-3290.0944,P570
-1809.6815,-3200.0944,P571
-1809.6815,-3110.0944,P572
-1809.6815,-3020.0944,P573
-1809.6815,-2930.0944,P574
-1809.6815,-2840.0944,P575
-1809.6815,-2750.0944,P576
-1809.6815,-2660.0944,P577
-1809.6815,-2570.0944,P578
-1809.6815,-2480.0944,P579
5019.0837,134.9075,P58
-1809.6815,-2390.0944,P580
-1809.6815,-2300.0944,P581
-1824.6815,-2210.0944,P582
-1734.6815,-2170.0909,P583
-1644.6815,-2170.0909,P584
-1554.6815,-2170.0909,P585
-1464.6815,-2170.0909,P586
-1374.6815,-2170.0909,P587
-1284.6815,-2170.0909,P588
-1194.6815,-2170.0909,P589
5109.0837,134.9075,P59
-1194.6815,-2080.0404,P590
-1194.6815,-1989.9899,P591
-1194.6815,-1899.9395,P592
-1194.6815,-1809.889,P593
-1194.6815,-1719.8385,P594
-1194.6815,-1629.788,P595
-1194.6815,-1539.7375,P596
-1194.6815,-1449.687,P597
-1194.6815,-1359.6366,P598
-1194.6815,-1269.5861,P599
344.5437,134.9075,P6
5199.0837,134.9075,P60
-1194.6815,-1179.5356,P600
-1194.6815,-1089.4851,P601
-1208.1764,-999.4346,P602
-1122.1764,-970.0927,P603
-1032.5565,-970.0927,P604
-942.5565,-970.0927,P605
-852.5565,-970.0927,P606
-762.5565,-970.0927,P607
-672.5565,-970.0927,P608
-582.5565,-970.0927,P609
5289.0837,134.9075,P61
-492.5565,-970.0927,P610
-402.5565,-970.0927,P611
-312.5565,-970.0927,P612
-222.5565,-970.0927,P613
5379.0837,134.9075,P62
5469.0837,134.9075,P63
5559.0837,134.9075,P64
5649.0837,134.9075,P65
5739.0837,134.9075,P66
5829.0837,134.9075,P67
5919.0837,134.9075,P68
6009.0837,134.9075,P69
434.5437,134.9075,P7
6099.0837,134.9075,P70
6189.0837,134.9075,P71
6279.0837,134.9075,P72
6369.0837,134.9075,P73
6459.0837,134.9075,P74
6549.0837,134.9075,P75
6639.0837,134.9075,P76
6729.0837,134.9075,P77
6819.0837,134.9075,P78
6909.0837,134.9075,P79
524.5437,134.9075,P8
6999.0837,134.9075,P80
7089.0837,134.9075,P81
7179.0837,134.9075,P82
7269.0837,134.9075,P83
7359.0837,134.9075,P84
7449.0837,134.9075,P85
7539.0837,134.9075,P86
7629.0837,134.9075,P87
7719.0837,134.9075,P88
7809.0837,134.9075,P89
614.5437,134.9075,P9
7899.0837,134.9075,P90
7989.0837,134.9075,P91
8079.0837,134.9075,P92
8169.0837,134.9075,P93
8259.0837,134.9075,P94
8349.0837,134.9075,P95
8439.0837,134.9075,P96
8529.0837,134.9075,P97
8619.0837,134.9075,P98
8709.0837,134.9075,P99
